Elements of Evolutionary Genetics,Brian Charlesworth,211,January 2010
The Best American Short Stories 2001,Barbara Kingsolver,212,October 2001
The Classic Hundred Poems: All-Time Favorites,William Harmon,213,March 1998
The Best American Nonrequired Reading 2007,Dave Eggers,214,October 2007
The Best New Playwrights 2009,Lawrence Harbison,215,December 2009
The Vintage Book of African American Poetry,Michael S. Harper,216,February 2000
Crossing the Danger Water: Three Hundred Years of African-American Writing,Deirdre Mullane,217,September 1993
2007: The Best Ten-Minute Plays for Two Actors,Lawrence Harbison,218,April 2008
The Hudson River Valley Reader,Edward C. Goodman,219,March 2009
Three Centuries of American Poetry,Allen Mandelbaum,220,March 1999
Down Time: Great Writers on Diving,Ed Kittrell,221,April 2001
Blues Poems (Everyman's Library Pocket Poets),Kevin Young,222,September 2003
Age Ain't Nothing But a Number: Black Women Explore Midlife,Carleen Brice,223,May 2003
Literary Nevada: Writings from the Silver State,Cheryll Glotfelty,224,August 2008
Nickel and Dimed,Joan Holden,225,November 2005
The Haves and Have Nots: 30 Stories about Money and Class in America,Barbara H. Solomon,226,October 1999
The Best American Short Plays 2003-2004,Glenn Young,227,September 2006
Latino Boom: An Anthology of U. S. Latino Literature,John Christie,228,July 2005
Up All Night: Adventures in Lesbian Sex,Stacy Bias,229,January 2004
Anthology of Modern American Poetry,Cary Nelson,230,January 2000
"A Patriot'S Handbook: Songs, Poems, Stories, And Speeches Celebrating The Land We Love",Caroline Kennedy,231,May 2003
Uncle Remus: His Songs and His Sayings,Joel Chandler Harris,232,September 1995
The Heath Anthology of American Literature: Volume B: Early Nineteenth Century (1800-1865),Paul Lauter,233,December 2004
Immigrant Women,Maxine Schwartz Seller,234,July 1994
The American Aeneas: Classical Origins of the American Self,John C. Shields,235,October 2001
"Love, Castro Street: Reflections of San Francisco",Katherine V. Forrest,236,May 2007
"The Women's Project and Productions: The Best One-Act Plays, 1975-1999",Julia Miles,237,June 2002
Feeling Italian: The Art of Ethnicity in America,Thomas Ferraro,238,May 2005
"Pamphlets of Protest: An Anthology of Early African American Protest Literature, 1790-1860",Richard G. Newman,239,October 2000
A Whole Other Ball Game: Women's Literature on Women's Sport,Joli Sandoz,240,September 1997
A Companion to African American Literature,Gene A. Jarrett,241,May 2010
Conversations with Mexican American Writers: Languages and Literatures in the Borderlands,Elisabeth Mermann-Jozwiak,242,May 2009
The Palm of My Heart: Poetry by African American Children,Davida Adedjouma,243,May 2003
"Women and Children of the Mills: An Annotated Guide to Nineteenth-Century American Textile Factory Literature, Vol. 28",Judith Ranta,244,July 1999
Rising Voices,Arlene Hirschfelder,245,July 1993
Brotherman: The Odyssey of Black Men in America--an Anthology,Robert Allen,246,January 1996
Literary Journalism: A New Collection of the Best American Nonfiction,Mark Kramer,247,May 1995
Americans in Paris: A Literary Anthology,Adam Gopnik,248,March 2004
Uncle Remus: His Songs and His Sayings,Joel Chandler Harris,249,September 1982
Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,Craft,250,April 1999
If I Had My Life to Live Over,Sandra Martz,251,January 2010
Postmodern American Poetry: A Norton Anthology,Paul Hoover,252,May 1994
Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,253,December 2003
The Lincoln Anthology: Great Writers on His Life and Legacy from 1860 to Now,Harold Holzer,254,December 2008
"Halloween Reader: Poems, Stories, and Plays from Halloweens Past",Lesley Pratt Bannatyne,255,August 2004
"American Literature (Penguin Academics Series), Vol. 1",William E. Cain,256,February 2004
Modernism: An Anthology,Lawrence Rainey,257,January 2005
The New Anthology of American Poetry: Volume II: Modernisms: 1900-1950,Steven Gould Axelrod,258,February 2005
Infinite Divisions: An Anthology of Chicana Literature,Tey Diana Rebolledo,259,June 1993
A Hallowe'en Anthology: Literary and Historical Writings over the Centuries,Lisa Morton,260,January 2008
